# Time-averaged data for fix 5
# TimeStep Number-of-rows
# Row c_AA[1] c_AA[2] c_AA[3]
200000 500
263 1.8375 1.00579 13.8035
264 1.8445 1.03463 13.9583
265 1.8515 1.04023 14.115
266 1.8585 1.05801 14.2757
267 1.8655 1.06187 14.4382
268 1.8725 1.05128 14.6002
269 1.8795 1.06674 14.7659
270 1.8865 1.08095 14.935
271 1.8935 1.07794 15.1049
272 1.9005 1.08583 15.2773
273 1.9075 1.0978 15.4529
274 1.9145 1.10978 15.6317
275 1.9215 1.12331 15.8141
276 1.9285 1.12263 15.9976
277 1.9355 1.11513 16.1813
278 1.9425 1.14398 16.371
279 1.9495 1.14957 16.5631
280 1.9565 1.14974 16.7566
281 1.9635 1.16788 16.9545
282 1.9705 1.18951 17.1576
283 1.9775 1.18169 17.3607
284 1.9845 1.20092 17.5687
285 1.9915 1.19552 17.7771
286 1.9985 1.19509 17.9869
287 2.0055 1.21209 18.2013
288 2.0125 1.22198 18.4188
289 2.0195 1.22048 18.6377
290 2.0265 1.22265 18.8584
291 2.0335 1.22486 19.0811
292 2.0405 1.24631 19.3092
293 2.0475 1.26334 19.542
294 2.0545 1.26162 19.7761
295 2.0615 1.26934 20.0133
296 2.0685 1.26942 20.2521
297 2.0755 1.26785 20.4922
298 2.0825 1.28445 20.7371
299 2.0895 1.28141 20.983
300 2.0965 1.2886 21.232
301 2.1035 1.29623 21.4842
302 2.1105 1.29997 21.7387
303 2.1175 1.29762 21.9945
304 2.1245 1.30945 22.2543
305 2.1315 1.2954 22.5131
306 2.1385 1.29508 22.7734
307 2.1455 1.28651 23.0338
308 2.1525 1.27159 23.2928
309 2.1595 1.27384 23.5539
310 2.1665 1.2699 23.816
311 2.1735 1.26743 24.0792
312 2.1805 1.26523 24.3437
313 2.1875 1.26792 24.6104
314 2.1945 1.27463 24.8803
315 2.2015 1.26329 25.1494
316 2.2085 1.26234 25.4201
317 2.2155 1.2543 25.6908
318 2.2225 1.26121 25.9646
319 2.2295 1.24888 26.2375
320 2.2365 1.23611 26.5094
321 2.2435 1.23931 26.7836
322 2.2505 1.24981 27.0619
323 2.2575 1.23207 27.3379
324 2.2645 1.2258 27.6142
325 2.2715 1.21003 27.8887
326 2.2785 1.21046 28.165
327 2.2855 1.20679 28.4421
328 2.2925 1.20691 28.721
329 2.2995 1.20349 29.0007
330 2.3065 1.19445 29.2801
331 2.3135 1.18797 29.5596
332 2.3205 1.17723 29.8383
333 2.3275 1.18473 30.1204
334 2.3345 1.18105 30.4034
335 2.3415 1.17162 30.6858
336 2.3485 1.18173 30.9723
337 2.3555 1.16311 31.256
338 2.3625 1.15266 31.5389
339 2.3695 1.1712 31.828
340 2.3765 1.16098 32.1162
341 2.3835 1.15111 32.4037
342 2.3905 1.1434 32.691
343 2.3975 1.13453 32.9776
344 2.4045 1.13836 33.267
345 2.4115 1.134 33.5569
346 2.4185 1.13477 33.8487
347 2.4255 1.12179 34.1388
348 2.4325 1.12871 34.4324
349 2.4395 1.10589 34.7218
350 2.4465 1.10154 35.0116
351 2.4535 1.10696 35.3046
352 2.4605 1.09886 35.597
353 2.4675 1.10012 35.8915
354 2.4745 1.08558 36.1837
355 2.4815 1.07664 36.4752
356 2.4885 1.08972 36.7718
357 2.4955 1.08568 37.0691
358 2.5025 1.07455 37.3649
359 2.5095 1.08172 37.6644
360 2.5165 1.09229 37.9685
361 2.5235 1.08237 38.2715
362 2.5305 1.09188 38.5789
363 2.5375 1.08959 38.8873
364 2.5445 1.08114 39.195
365 2.5515 1.07655 39.5031
366 2.5585 1.08143 39.8144
367 2.5655 1.075 40.1254
368 2.5725 1.07457 40.438
369 2.5795 1.07173 40.7515
370 2.5865 1.06826 41.0657
371 2.5935 1.07152 41.3826
372 2.6005 1.06288 41.6986
373 2.6075 1.06047 42.0155
374 2.6145 1.06141 42.3345
375 2.6215 1.05767 42.654
376 2.6285 1.05409 42.9742
377 2.6355 1.07252 43.3017
378 2.6425 1.07637 43.6321
379 2.6495 1.08237 43.9662
380 2.6565 1.06573 44.2968
381 2.6635 1.07359 44.6316
382 2.6705 1.06948 44.9669
383 2.6775 1.06857 45.3037
384 2.6845 1.05852 45.6391
385 2.6915 1.0632 45.9777
386 2.6985 1.05718 46.3161
387 2.7055 1.06804 46.6598
388 2.7125 1.06358 47.0038
389 2.7195 1.07073 47.3519
390 2.7265 1.06898 47.7013
391 2.7335 1.07382 48.054
392 2.7405 1.07261 48.4082
393 2.7475 1.0767 48.7655
394 2.7545 1.07222 49.1231
395 2.7615 1.077 49.4842
396 2.7685 1.07926 49.8478
397 2.7755 1.07818 50.213
398 2.7825 1.08421 50.582
399 2.7895 1.07787 50.9507
400 2.7965 1.08627 51.3242
401 2.8035 1.08973 51.7007
402 2.8105 1.08903 52.0789
403 2.8175 1.09236 52.4601
404 2.8245 1.08452 52.8405
405 2.8315 1.08944 53.2245
406 2.8385 1.08968 53.6104
407 2.8455 1.08427 53.9964
408 2.8525 1.09985 54.3898
409 2.8595 1.10204 54.786
410 2.8665 1.10345 55.1846
411 2.8735 1.10532 55.5858
412 2.8805 1.10405 55.9885
413 2.8875 1.10618 56.394
414 2.8945 1.10832 56.8022
415 2.9015 1.12069 57.217
416 2.9085 1.12475 57.6353
417 2.9155 1.11181 58.0507
418 2.9225 1.1174 58.4703
419 2.9295 1.12297 58.894
420 2.9365 1.12497 59.3204
421 2.9435 1.12359 59.7484
422 2.9505 1.13249 60.1818
423 2.9575 1.1345 60.6181
424 2.9645 1.11977 61.0507
425 2.9715 1.13598 61.4917
426 2.9785 1.13156 61.933
427 2.9855 1.1323 62.3767
428 2.9925 1.13506 62.8235
429 2.9995 1.12954 63.2703
430 3.0065 1.12925 63.719
431 3.0135 1.12613 64.1686
432 3.0205 1.14455 64.6277
433 3.0275 1.13795 65.0862
434 3.0345 1.14413 65.5494
435 3.0415 1.14567 66.0153
436 3.0485 1.15009 66.4852
437 3.0555 1.1456 66.9554
438 3.0625 1.14724 67.4284
439 3.0695 1.14041 67.9008
440 3.0765 1.14135 68.3757
441 3.0835 1.14928 68.8561
442 3.0905 1.1397 69.3346
443 3.0975 1.14116 69.816
444 3.1045 1.14217 70.2999
445 3.1115 1.14473 70.7871
446 3.1185 1.15304 71.2801
447 3.1255 1.13734 71.7685
448 3.1325 1.13997 72.2603
449 3.1395 1.12875 72.7494
450 3.1465 1.13171 73.242
451 3.1535 1.12952 73.7358
452 3.1605 1.12547 74.23
453 3.1675 1.12975 74.7283
454 3.1745 1.12802 75.228
455 3.1815 1.12057 75.7267
456 3.1885 1.12219 76.2282
457 3.1955 1.12521 76.7334
458 3.2025 1.12554 77.2408
459 3.2095 1.12052 77.7483
460 3.2165 1.12974 78.2621
461 3.2235 1.12213 78.7747
462 3.2305 1.13142 79.2938
463 3.2375 1.12228 79.8109
464 3.2445 1.12095 80.3297
465 3.2515 1.13279 80.8562
466 3.2585 1.12087 81.3794
467 3.2655 1.12209 81.9054
468 3.2725 1.12787 82.4364
469 3.2795 1.11457 82.9634
470 3.2865 1.11462 83.4927
471 3.2935 1.10714 84.0206
472 3.3005 1.11813 84.5561
473 3.3075 1.11369 85.0917
474 3.3145 1.10471 85.6252
475 3.3215 1.11235 86.1647
476 3.3285 1.1131 86.7069
477 3.3355 1.11133 87.2504
478 3.3425 1.10537 87.7933
479 3.3495 1.10059 88.3362
480 3.3565 1.10164 88.8818
481 3.3635 1.09959 89.4287
482 3.3705 1.1011 89.9786
483 3.3775 1.10204 90.5313
484 3.3845 1.10229 91.0864
485 3.3915 1.10569 91.6455
486 3.3985 1.10547 92.2068
487 3.4055 1.0812 92.758
488 3.4125 1.09391 93.3181
489 3.4195 1.10164 93.8844
490 3.4265 1.08979 94.4469
491 3.4335 1.08256 95.0079
492 3.4405 1.08839 95.5743
493 3.4475 1.08239 96.1399
494 3.4545 1.08703 96.7101
495 3.4615 1.08418 97.2812
496 3.4685 1.09173 97.8586
497 3.4755 1.08799 98.4364
498 3.4825 1.07674 99.0105
499 3.4895 1.08255 99.59
500 3.4965 1.09327 100.178
